 Libcell,Min_delay,Avg_delay,Max_delay
 INV_X5R_A9PP84TSL_C14 ,0.007,0.010228070175438598,0.046
 MXT2_X3N_A9PP84TR_C16 ,0.024,0.0335,0.043
 MX2_X4N_A9PP84TSL_C14 ,0.020,0.0205,0.021
 INV_X6R_A9PP84TL_C16 ,0.005,0.005,0.005
 BUF_X14N_A9PP84TL_C14 ,0.014,0.014,0.014
 SDFFRPQ_X2N_A9PP84TSL_C16 ,0.030,0.032,0.036
 NAND3_X1N_A9PP84TR_C16 ,0.010,0.021500000000000002,0.033
 NAND2_X4R_A9PP84TSL_C14 ,0.005,0.011500000000000002,0.017
 MXT2_X3N_A9PP84TL_C16 ,0.019,0.019,0.019
 BUFH_X6N_A9PP84TR_C14 ,0.010,0.01,0.010
 AO1B2_X2N_A9PP84TL_C16 ,0.022,0.022,0.022
 BUF_X14N_A9PP84TR_C16 ,0.017,0.017,0.017
 INV_X5R_A9PP84TSL_C16 ,0.014,0.014,0.014
 XNOR2_X1N_A9PP84TSL_C14 ,0.009,0.020500000000000008,0.025
 DFFRPQ_X3N_A9PP84TR_C16 ,0.033,0.033,0.033
 NAND3_X1N_A9PP84TL_C16 ,0.025,0.026500000000000003,0.028
 INV_X12R_A9PP84TSL_C14 ,0.005,0.007462184873949586,0.013
 MXT2_X0P5N_A9PP84TR_C16 ,0.030,0.03,0.030
 NAND2_X4R_A9PP84TR_C14 ,0.009,0.0094,0.010
 INV_X12R_A9PP84TR_C14 ,0.005,0.006500000000000001,0.008
 INV_X3N_A9PP84TSL_C14 ,0.006,0.018155555555555567,0.052
 BUFH_X6N_A9PP84TL_C14 ,0.009,0.013499999999999998,0.018
 BUF_X14N_A9PP84TL_C16 ,0.017,0.017003478260869582,0.019
 OA22_X1N_A9PP84TR_C16 ,0.024,0.03168750000000001,0.044
 MXGL2_X2N_A9PP84TL_C16 ,0.014,0.01937499999999997,0.029
 AOI21_X4N_A9PP84TR_C14 ,0.011,0.011999999999999999,0.018
 AO22_X2N_A9PP84TSL_C14 ,0.013,0.019111111111111117,0.037
 BUFH_X6N_A9PP84TR_C16 ,0.013,0.013,0.013
 INV_X12R_A9PP84TL_C14 ,0.004,0.004,0.004
 BUF_X8N_A9PP84TR_C16 ,0.025,0.025,0.025
 XNOR2_X1N_A9PP84TSL_C16 ,0.022,0.0235,0.025
 NAND2_X2N_A9PP84TSL_C14 ,0.009,0.01031034482758621,0.015
 SDFFXSQ_X4N_A9PP84TL_C14 ,0.065,0.065,0.065
 INV_X12R_A9PP84TR_C16 ,0.006,0.009,0.011
 SDFFXRPQ_X4N_A9PP84TSL_C14 ,0.014,0.027861702127659576,0.051
 INV_X3N_A9PP84TSL_C16 ,0.006,0.006,0.006
 INV_X4F_A9PP84TR_C14 ,0.008,0.011200000000000002,0.014
 NOR4_X1N_A9PP84TSL_C14 ,0.024,0.03466666666666667,0.042
 OAI2XB1_X1N_A9PP84TR_C16 ,0.035,0.035,0.035
 BUF_X16N_A9PP84TSL_C14 ,0.011,0.01452966793685403,0.022
 AOI21_X4N_A9PP84TR_C16 ,0.021,0.04257142857142858,0.054
 OAI22_X3N_A9PP84TL_C14 ,0.014,0.014,0.014
 OAI22_X2R_A9PP84TR_C14 ,0.017,0.0175,0.019
 INV_X10N_A9PP84TSL_C14 ,0.004,0.009397058823529418,0.017
 NAND2_X4R_A9PP84TL_C16 ,0.014,0.014,0.014
 INV_X4F_A9PP84TL_C14 ,0.010,0.015666666666666666,0.027
 NAND2_X2N_A9PP84TSL_C16 ,0.014,0.016,0.017
 AOI21_X4N_A9PP84TL_C16 ,0.046,0.046,0.046
 NOR2_X6F_A9PP84TSL_C14 ,0.012,0.011999999999999999,0.012
 NOR2_X6R_A9PP84TL_C14 ,0.019,0.019,0.019
 AOI21_X4N_A9PP84TSL_C14 ,0.012,0.019300000000000005,0.042
 SDFFXSQ_X4N_A9PP84TL_C16 ,0.043,0.04833333333333334,0.053
 SDFFXRPQ_X4N_A9PP84TSL_C16 ,0.021,0.047375,0.063
 NAND4_X3R_A9PP84TSL_C14 ,0.009,0.017307692307692312,0.028
 MXT2_X2N_A9PP84TSL_C14 ,0.023,0.02983333333333334,0.031
 NOR4_X1N_A9PP84TSL_C16 ,0.027,0.027,0.027
 INV_X10N_A9PP84TSL_C16 ,0.004,0.0055000000000000005,0.010
 BUFH_X3N_A9PP84TSL_C14 ,0.017,0.022833333333333334,0.032
 INV_X2N_A9PP84TR_C14 ,0.008,0.029648351648351643,0.042
 AO21_X1N_A9PP84TSL_C14 ,0.027,0.028,0.029
 NAND4_X3N_A9PP84TL_C14 ,0.020,0.02,0.020
 AO1B2_X1N_A9PP84TSL_C14 ,0.023,0.023,0.023
 AOI22_X1F_A9PP84TSL_C14 ,0.012,0.01690322580645162,0.024
 PREICG_X2N_A9PP84TL_C14 ,0.010,0.038150039277297806,0.095
 NOR2_X6R_A9PP84TL_C16 ,0.052,0.052,0.052
 AO21A1AI2_X2N_A9PP84TSL_C14 ,0.015,0.0155,0.016
